Match_no,Date,Venue,Team1,Team2,Winner,Scorecard URL
1,5-Oct,Ahmedabad,England , New Zealand,New Zealand,https://www.cricketwa.com/scorecard/18020/england-vs-new-zealand-1st-match-odi-cricket-world-cup-2023.aspx
2,6-Oct,Hyderabad,Pakistan , Netherlands,Pakistan,https://www.cricketwa.com/scorecard/18021/pakistan-vs-netherlands-2nd-match-odi-cricket-world-cup-2023.aspx
3,7-Oct,Dharamsala,Bangladesh , Afghanistan,Bangladesh,https://www.cricketwa.com/scorecard/23008/bangladesh-vs-afghanistan-3rd-match-odi-cricket-world-cup-2023.aspx
4,7-Oct,Delhi,South Africa , Sri Lanka,South Africa,https://www.cricketwa.com/scorecard/23009/south-africa-vs-sri-lanka-4th-match-odi-cricket-world-cup-2023.aspx
5,8-Oct,Chennai,India , Australia,India,https://www.cricketwa.com/scorecard/23010/india-vs-australia-5th-match-odi-cricket-world-cup-2023.aspx
6,9-Oct,Hyderabad,New Zealand , Netherlands,New Zealand,https://www.cricketwa.com/scorecard/23011/new-zealand-vs-netherlands-6th-match-odi-cricket-world-cup-2023.aspx
7,10-Oct,Dharamsala,England , Bangladesh ,England,https://www.cricketwa.com/scorecard/23012/england-vs-bangladesh-7th-match-odi-cricket-world-cup-2023.aspx
8,10-Oct,Hyderabad,Pakistan , Sri Lanka,Pakistan,https://www.cricketwa.com/scorecard/23014/pakistan-vs-sri-lanka-8th-match-odi-cricket-world-cup-2023.aspx
9,11-Oct,Delhi,India , Afghanistan,India,https://www.cricketwa.com/scorecard/23013/india-vs-afghanistan-9th-match-odi-cricket-world-cup-2023.aspx
10,12-Oct,Ekana Cricket Stadium Lucknow,Australia , South Africa,South Africa,https://www.cricketwa.com/scorecard/23015/australia-vs-south-africa-10th-match-odi-cricket-world-cup-2023.aspx
11,13-Oct,Chennai,New Zealand , Bangladesh,New Zealand,https://www.cricketwa.com/scorecard/23016/new-zealand-vs-bangladesh-11th-match-odi-cricket-world-cup-2023.aspx
12,14-Oct,Ahmedabad,India , Pakistan,India,https://www.cricketwa.com/scorecard/23018/india-vs-pakistan-12th-match-odi-cricket-world-cup-2023.aspx
13,15-Oct,Delhi,England , Afghanistan,Afghanistan,https://www.cricketwa.com/scorecard/23017/england-vs-afghanistan-13th-match-odi-cricket-world-cup-2023.aspx
14,16-Oct,Ekana Cricket Stadium Lucknow,Australia , Sri Lanka,Australia,https://www.cricketwa.com/scorecard/23019/australia-vs-sri-lanka-14th-match-odi-cricket-world-cup-2023.aspx
15,17-Oct,Dharamsala,South Africa , Netherlands,Netherlands,https://www.cricketwa.com/scorecard/23020/south-africa-vs-netherlands-15th-match-odi-cricket-world-cup-2023.aspx
16,18-Oct,Chennai,New Zealand , Afghanistan,New Zealand,https://www.cricketwa.com/scorecard/23021/new-zealand-vs-afghanistan-16th-match-odi-cricket-world-cup-2023.aspx
